,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
654,Y033RY2,Equipment,Other equipment,2012_Q1,0.1,0.15,0.15,0.15,0.05,0.05,0.05,30.0,2012,1,2012-01-01
655,Y033RY2,Equipment,Transportation equipment,2012_Q1,0.18,0.22,0.22,0.22,0.04,0.04,0.04,30.0,2012,1,2012-01-01
656,Y033RY2,Equipment,Computers and peripheral equipment,2012_Q2,-0.03,-0.12,0.12,0.12,-0.09,0.09,0.09,30.0,2012,4,2012-04-01
657,Y033RY2,Equipment,Industrial equipment,2012_Q2,0.19,0.16,0.16,0.16,-0.03,0.03,0.03,30.0,2012,4,2012-04-01
658,Y033RY2,Equipment,Information processing equipment - other,2012_Q2,-0.01,-0.08,0.08,0.08,-0.07,0.07,0.07,30.0,2012,4,2012-04-01
659,Y033RY2,Equipment,Other equipment,2012_Q2,0.09,0.09,0.09,0.09,0.0,0.0,0.0,30.0,2012,4,2012-04-01
660,Y033RY2,Equipment,Transportation equipment,2012_Q2,0.16,0.19,0.19,0.19,0.03,0.03,0.03,30.0,2012,4,2012-04-01
661,Y033RY2,Equipment,Computers and peripheral equipment,2012_Q3,-0.13,-0.19,0.19,0.19,-0.06,0.06,0.06,30.0,2012,7,2012-07-01
662,Y033RY2,Equipment,Industrial equipment,2012_Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2012,7,2012-07-01
663,Y033RY2,Equipment,Information processing equipment - other,2012_Q3,-0.03,0.04,0.04,0.04,0.07,0.07,0.07,30.0,2012,7,2012-07-01
664,Y033RY2,Equipment,Other equipment,2012_Q3,0.14,0.12,0.12,0.12,-0.02,0.02,0.02,30.0,2012,7,2012-07-01
665,Y033RY2,Equipment,Transportation equipment,2012_Q3,-0.1,-0.22,0.22,0.22,-0.12,0.12,0.12,30.0,2012,7,2012-07-01
666,Y033RY2,Equipment,Computers and peripheral equipment,2012_Q4,0.31,0.27,0.27,0.27,-0.04,0.04,0.04,30.0,2012,10,2012-10-01
667,Y033RY2,Equipment,Industrial equipment,2012_Q4,0.1,0.12,0.12,0.12,0.02,0.02,0.02,30.0,2012,10,2012-10-01
668,Y033RY2,Equipment,Information processing equipment - other,2012_Q4,0.04,0.09,0.09,0.09,0.05,0.05,0.05,30.0,2012,10,2012-10-01
669,Y033RY2,Equipment,Other equipment,2012_Q4,0.06,0.1,0.1,0.1,0.04,0.04,0.04,30.0,2012,10,2012-10-01
670,Y033RY2,Equipment,Transportation equipment,2012_Q4,0.2,0.09,0.09,0.09,-0.11,0.11,0.11,30.0,2012,10,2012-10-01
671,Y033RY2,Equipment,Computers and peripheral equipment,2013_Q1,0.03,-0.07,0.07,0.07,-0.1,0.1,0.1,30.0,2013,1,2013-01-01
672,Y033RY2,Equipment,Industrial equipment,2013_Q1,-0.01,-0.02,0.02,0.02,-0.01,0.01,0.01,30.0,2013,1,2013-01-01
